# Fields: Hash, Region, Board, PCB, Chip, Mapper, PrgRomSize, ChrRomSize, ChrRamSize, PrgRamSize, Battery, Mirroring, SubMapper, Title
16149775495979127565,NTSC,,,,1,8,0,1,2,false,SingleScreenA,0,"Highway Star (Japan).nes"
16153995604210957048,NTSC,,,,0,9,0,1,0,false,Horizontal,0,"Korean Igo (Korea) (Unl).nes"
16157721084406461676,NTSC,,,,4,8,32,0,0,false,Horizontal,0,"Metal Storm (USA).nes"
16166879123398023928,NTSC,,,,0,1,1,0,0,false,Vertical,0,"Lunar Pool (USA).nes"
16174560467239822198,NTSC,,,,4,8,16,0,0,false,Horizontal,0,"Michael Andretti\'s World GP (USA).nes"
16181085686118284842,NTSC,,,,4,16,16,0,0,true,Horizontal,0,"God Slayer - Haruka Tenkuu no Sonata (Japan).nes"
16189744880947092798,NTSC,,,,1,8,4,0,2,false,SingleScreenA,0,"Rollerball (Australia).nes"
16190084565709012521,NTSC,,,,3,2,4,0,0,false,Vertical,0,"Sansuu 5 & 6 Nen - Keisan Game (Japan) (Beta).nes"
16190338981950734483,NTSC,,,,4,16,32,0,0,true,Horizontal,0,"StarTropics (USA).nes"
16192408580711797810,NTSC,,,,1,8,16,0,2,false,SingleScreenA,0,"Chip to Dale no Daisakusen 2 (Japan).nes"
16198362297120726042,NTSC,,,,0,1,1,0,0,false,Horizontal,0,"HVC Kensa Cassette Controller Test (Japan).nes"
16213522180971053802,NTSC,,,,1,8,2,0,2,true,SingleScreenA,0,"A Ressha de Ikou (Japan).nes"
16265619266577356425,NTSC,,,,4,16,16,0,0,false,Horizontal,0,"Little Samson (USA).nes"
16267365108678139779,NTSC,,,,2,16,0,1,0,false,Vertical,0,"Big Nose and the Witchdoctor (USA) (Beta) (Unl).nes"
16271808451517902223,NTSC,,,,0,1,1,0,0,false,Horizontal,0,"Golf (Japan).nes"
16274925841170701637,NTSC,,,,1,16,0,1,2,false,SingleScreenA,0,"Faxanadu (USA).nes"
16277735386949330361,NTSC,,,,1,2,4,0,2,false,SingleScreenA,0,"Palamedes (Japan).nes"
16278571189710314752,PAL,,,,4,8,16,0,0,false,Horizontal,0,"Super Mario Bros. 2 (Europe).nes"
16290674723188144194,NTSC,,,,4,8,8,0,0,false,Horizontal,0,"Toobin\' (USA) (Unl).nes"
16297627049603599387,NTSC,,,,3,2,4,0,0,false,Vertical,0,"Bandai Golf - Challenge Pebble Beach (USA).nes"
16300547752894611346,PAL,,,,4,8,16,0,0,false,Horizontal,0,"Probotector II - Return of the Evil Forces (Europe).nes"
16304238215268660072,NTSC,,,,3,2,4,0,0,false,Vertical,0,"Super Team Games (USA).nes"
16316828601626030234,NTSC,,,,3,2,4,0,0,false,Vertical,0,"Monster Truck Rally (USA).nes"
16318013550531446615,NTSC,,,,1,8,16,0,2,true,SingleScreenA,0,"Emoyan no 10 Bai Pro Yakyuu (Japan).nes"
16321729692758962778,NTSC,,,,3,2,4,0,0,false,Horizontal,0,"ASO - Armored Scrum Object (Japan).nes"
